episode;date;teaser
11;19-10-2015;We kijken binnen bij een bijzondere woonark in Arnhem. Boswachter Marieke neemt ons mee naar een bijzondere natuurspektakel: burlende herten op de Veluwe. En chef-kok Sharon maakt een snelle maaltijd!
12;20-10-2015;Stylist Eva frist een donkere woonkamer op. Miep leidt ons rond in haar prachtige Oener kijktuin. En Alain kookt een gerecht met... stroopwafels!
13;21-10-2015;Mieke heeft 40000 slakken in haar kwekerij. Bij Alain loopt 't water direct in de mond! Ook kijken we binnen bij een kasteel vol poppen en speelgoed. En Martin richt een schaduwtuin in.
14;22-10-2015;We gaan langs bij een moderne schaapherder met lease-kudde. Ramon kookt winterse witlofquiche & uiensoep. En we kijken in een duurzaam houten huis in Amsterdam.
15;23-10-2015;Society dame en succesvol ondernemer opent de deuren van haar luxe penthouse. Chef-kok Alain steekt zijn neus in de hennepplanten. En je ziet hoe moestuinieren ook midden in de stad kan.
16;26-10-2015;Kijk binnen bij een monumentaal doktershuis in Friesland. Vogelaar Arjan Dwarshuis is op date met zijn vriendin, op het romantische Texel. Ze kijken naar de vogeltrek! En chef-kok Sharon maakt een budget maaltijd: gevulde kippensoep.
17;27-10-2015;Eva schiet te hulp bij een sfeerloze woonkamer. Chef-kok Alain gaat op bezoek bij een biologisch dynamische geitenboerderij. En Professor Oudemans vertelt een bijzonder verhaal over bomen op het landgoed Tenaxx.
18;28-10-2015;Anton z'n cactusverslaving gaat heel ver. Culinair expert Alain bezoekt een biologische buurtmarkt en de tuin van Elke krijgt een Aziatisch tintje.
19;29-10-2015;Milah en haar man bouwden een huis van recyclede materialen, chef-kok Ramon kookt een pittige pastasalade en boswachter Marieke bezoekt een aangeplant bos.
20;30-10-2015;Marleen uit Utrecht verbouwt een hobbelig veld tot moestuin, Oscar Hammerstein toont zijn kapitale pand aan de Amsterdamse Gouden Bocht en wijn uit Zeeland.
21;3-11-2015;De familie van Gelderen heeft een zee van ruimte in een voormalige kerk, Melle's hout-ontwerpen worden getoond tot in Milaan en het is weer stamppot-tijd!
22;4-11-2015;Trendwatcher Adjiedj heeft flink wat souvenirs verzameld door de jaren heen, kantine-eten uit eigen kas en een maaltijd met snoekbaars.
23;5-11-2015;Een duurzaam huis in een mooi jasje, een prachtig natuurgebied op de Veluwe met rondrennend wild en de betaalbare maaltijd van Ramon Brugman.
24;6-11-2015;Een droomhuis dat met je flirt,Ramon maakt een drankje dat in Nederland vrij onbekend is en een tuin met vele kanten.
25;9-11-2015;Het is de Nationale Duurzame Huizen Route week, bamboe is hip en chef-kok Sharon kookt met halloumi.
26;10-11-2015;Meubelontwerper Rolf maakt van sloopmaterialen een nieuw woonobject, chef-kok Alain experimenteert met eetbare bloemen en wat doen kamelen in Den Bosch?
27;11-11-2015;Martin laat mensen genieten van hun tuin, tweeling Julia en Laura als echte kasteelvrouwen en chef-kok Alain leert de wetenschappelijke keuken kennen.
28;12-11-2015;Wonen in een badkuipenfabriek in Ulft, chef-kok Ramon maakt een zuidelijk gerecht en boswachter Marieke gaat op jeepsafari.
29;13-11-2015;Melk uit de supermarkt heeft veel bewerkingen ondergaan. Wie weet nog hoe echte verse koeienmelk smaakt? De melksommelier! En designer Stef bouwde zijn eigen loft.
30;16-11-2015;Frank en Carolien bewonen een boerenschuur, chef-kok Miranda kookt met pijlinktvis en limoenrijst en vogels spotten in Amsterdam met Arjan!
31;17-11-2015;Franke neemt je mee op bomentour, interieurstyliste Lizzy lost ruimtetekort op en chef-kok Alain is bij de oogst van lupine.
32;18-11-2015;Student Sander woont in een monumentale kamer, hovenier Martin gaat de uitdaging aan in de tuin en chef-kok Alain eet insecten.
33;19-11-2015;Een strobalen huis in Veghel, boswachter Marieke vindt slangen in de vriezer en Ramon kookt betaalbare canneloni!
34;20-11-2015;17-jarige Romy doet aan aquascaping, Ellen en Rob wonen in een prachtig Rijksmonument en Alain duikt een kookboek in uit 1612.
35;23-11-2015;Wonen in een omgebouwde bakkerij, een close up van 't goudhaantje bij een telpost en Ramon maakt doradefilet met pasta binnen tien minuten.
36;24-11-2015;Een verslaving voor bonsaiboompjes, de huiskamer van Loes en Anno krijgt een flinke beurt en lekkere soep van Alain Caron!
37;25-11-2015;mihoen met biefstuk in een handomdraai, van studentenwoning naar cabriowoning en heel veel tomaten in Ilpendam!
38;26-11-2015;Een zelfverzonnen eco-huis, de budgetmaaltijd van Ramon met varkenskoteletten en avontuurlijk doen op de Utrechtse Heuvelrug!
39;27-11-2015;Bierproeven in Genk, met Martin je tuin winterklaar maken en oude treingeschiedenis  in Utrecht!
40;30-11-2015;Koeien op hun oude dag , een couscous salade van Sharon en een oud veerhuisje in Zeeland.
41;1-12-2015;Duurzaam geteelde zeewier van Nederlandse bodem en een wel heel bijzonder zandkasteel in België.
42;2-12-2015;Alain in de ban van varkens, een houten droomhuis in de bossen van Zeist en van eentonige naar functionele tuin!
43;3-12-2015;Met boswachter Marieke op bezoek bij een mineraalrijk gebied, Ramon kookt een heerlijke risotto met schelpdieren en een woonboot in Amsterdam wordt opgeknapt.
44;4-12-2015;Goud als kleurige sfeermaker in een Wassenaars huis, een kas voor moestuinen in Almere en biersommelier Fiona proeft bier én chocolade.
45;7-12-2015;Tropische vlinders in Holland, Sharon is op smakelijke vegetarische toer met tofu, pindasaus & paksoi. En Mariannes huis staat vol brocante.
46;8-12-2015;Alain oogst pastinaak, met pure paardenkracht! En Ridderhofstad Hindersteyn is een unieke historische buitenplaats met fantastische tuin!
47;9-12-2015;Eigenzinnig wonen in een stolpboerderij, Cor zet met Martin letterlijk zijn vrouw in het zonnetje. Wat is fermenteren? Alain zoekt het uit!
48;10-12-2015;Ramon maakt een snelle oosterse vegetarische maaltijd, een prachtige droomvilla aan het water en boswachter Marieke zoekt het wilde zwijn.
49;11-12-2015;Léon en Milton bezoeken de noordelijkste wijngaard van ons land. En hoe is het om te wonen op een oude Kempenaar ofwel varend vrachtschip?
50;14-12-2015;Wonen in een karakteristieke burgemeesterswoning uit 1763 en brood van een gepassioneerde bakker. Niet zomaar brood, biologisch zuurdesem!
51;15-12-2015;Een bouwpakket van boomstammen wordt een duurzaam huis! Een échte graaf over zijn kasteeltuin Middachten en een budget feestmaal van Ramon.
52;16-12-2015;Hans houdt van Kerst dat zie je in zijn huis! Sharon laat zien hoe feestelijk linzensoep is en Martin maakt een kerstboompje van rozemarijn!
53;17-12-2015;In Veendam staat een prachtig Herenhuis helemaal in kerstsfeer, Alain barbecuet gewoon door in de winter. En heb je nog geen kerstboom? Je kan er een adopteren!
54;18-12-2015;Zakenvrouw Marjan Strijbosch toont haar luxe kersthuis. En we gaan naar een wijngaard in België: wat serveer je bij mousserende wijn?
55;4-1-2016;In Onnen bewoont een gezin de oude koepelkerk, Sharon maakt een gezonde snelle lasagne en vogelaar Arjan zoekt de bedreigde berggans.
56;5-1-2016;Lizzy en Marsha maken een speelkelder voor Suzanne's kinderen, Ramon maakt witlofkroketten en een tuin in Dongen is een dierenparadijs.
57;6-1-2016;Jouke en Petra bouwden de eerste cradle-to-cradle woning in ons land: superduurzaam! En Alain ontmoet boer Arjan en zijn stoere waterbuffels.
58;7-1-2016;Kunstschilder Henk Helmantel herbouwde een middeleeuwse pastorie, tuinspecialist Martin knapt een achtertuin op en Ramon maakt Indiase curry.
59;8-1-2016;Marianne en Bert bouwden een landhuis in de duinen en Alain Caron laat zich inspireren door koffie-expert Kiona Malinka.
60;9-1-2016;In de weekendeditie: een uniek landhuis, vogelaar Arjan spot overwinteraars, Ramon maakt de lekkerste Indiase curry, een tot woonhuis verbouwde koepelkerk en Alain Caron bezoekt waterbuffels.
61;11-1-2016;Een oud raadhuis dat een woonhuis werd, snelle varkenskarbonaadjes met paksoi en hoe vang je een kudde Schotse hooglanders.
62;12-1-2016;Een antieke begraafplaats is omgetoverd tot groene oase, interieurstylist Marjolein transformeert een woonkamer en Sharon maakt saotosoep!
63;13-1-2016;Alain bezoekt een echtpaar dat overheerlijke piccalilly maakt als een uit de hand gelopen hobby! En we kijken binnen bij een school die omgebouwd is tot negen woningen.
64;14-1-2016;Sharon maakt snelle én goedkope groene curry, boswachter Marieke vaart door de Weerribben en een zwartgeblakerd ecohuis op het platteland.
65;15-1-2016;Wat is een zaadhuisje en hoe fantastisch is het om er te wonen? En experts Léon en Milton bezoeken een grappa-stoker, gewoon in eigen land.
66;16-1-2016;Een verbouwde school als heerlijk familiehuis, Sharon maakt saotosoep, boswachter Marieke vaart door de Overijsselse Weerribben, een duurzaam gebouwd zwart huis en de Hollandse variant van Grappa.
67;18-1-2016;In Leersum bij de Utrechtse Heuvelrug, ligt een voormalig ziekenhuisje dat ooit bedoeld was voor cholera patiënten. Het ziekenhuis is gebouwd omstreeks 1880 maar heeft nooit patiënten gehad. Nu woont Anita Witten er met heel veel plezier. Sharon maakt een snelle pastamaaltijd met gnocchi (italiaanse pastaballetjes). Ze maakt er een verrassende pesto bij van geitenkaas en cashewnoten. Camilla Dreef is vogelaar en bioloog. Zij bezoekt Greet in Almere. Zij heeft een tuin waar het heerlijk toeven is voor allerlei gevleugelde vriendjes. Wat zien ze? En waarom worden ze geteld?
68;19-1-2016;Frank&Frank willen siergrassen in alle tuinen. Een vinexwoning in boerderijsfeer en Ramon maakt een stevige winterse zuurkoolsoep.
69;20-1-2016;Alain ontmoet in Eindhoven Peter en Jetty. Hun snackbar is uniek. Alles maken ze zelf, en ze experimenteren graag. Wat dacht je van walnoten-linzenburgers, risotto-caprese-ballen en wildballen? Alles duurzaam en verantwoord. Maar vooral: lekker! Het inspireert Alain tot een nieuw gerecht voor op de kaart. De familie Kiekebosch woont in een volledig duurzaam huis in het prachtige Salland. Ze noemen het een 'natuurlijk huus' en er wordt gekookt en gestookt op hout. Toch hebben ze niet ingeleverd op comfort. Hun boodschap is dat duurzaam wonen bijdraagt aan geluk, gezondheid en energiek leven.
70;21-1-2016;Interieurstyliste Marjolijn pimpt een meidenkamer, Ramon maakt een oosterse tartaar van zalm en Marieke vertelt hoe de Sallandse Heuvelrug is ontstaan.
71;22-1-2016;Een kijkje in het unieke landhuis waar de architect van het Rijksmuseum woont. En Alain proeft whisky gerijpt op eikenhout in Twente.
72;23-1-2016;Het landhuis van architect Friso Woudstra, Ramon maakt winterse soep met zuurkool, boswachter Marieke bezoekt de Sallandse Heuvelrug, een volledig duurzaam gebouwd huis en Alain proeft Twentse Whisky.
73;25-1-2016;Frank verbouwt een mega meelfabriek tot droomhuis, Sharon maakt falafel en hummus. En oude runder rassen zijn prima grasmaaiers.
74;26-1-2016;Professor Oudemans neemt ons mee naar de Botanische tuin in Leiden en laat zien hoe intelligent planten zijn. De één is een kei in camouflage, de ander heeft een manier bedacht zich zo snel mogelijk voort te kunnen planten. Planten zijn niet op hun achterhoofd gevallen. * Interieurontwerper Francine Meerveld duikt in het interieurprobleem van Sara: een ongezellige lange smalle gang. Hoe gaan ze die praktisch inrichten en eigen sfeer geven? * Chef-kok Ramon maakt een lekkere snelle maaltijd met tagliatelle en zalm.
75;27-1-2016;Alain leert alles over het Chaams hoen, hovenier Martin helpt bij een overvolle tuin en we kijken binnen bij een bijzonder schoorstenenhuis in Bosschenhoofd.
76;28-1-2016;Boswachter Marieke brengt een bezoek aan het prachtige Terschelling, we kijken binnen bij een huis dat vast gebouwd is aan een museum, en chef-kok Sharon maakt quesadillas.
77;29-1-2016;Wonen in een woontoren van 100 meter hoog met adembenemend uitzicht en Léon en Milton duiken in het mysterie van de absint.
78;30-1-2016;Weekendeditie: Een tot woonhuis verbouwde meelfabriek, Sharon maakt zelf hummus en falafel, Professor Oudermans vertelt waarom planten en bomen intelligenter zijn dan wij denken.
79;1-2-2016;Luxe wonen op 60 m2 op een vakantiepark, hoe bereid je gamba's en hoe maak je de mooiste landschapsfoto?
80;2-2-2016;Ramon maakt één van zijn lievelingsgerechten, paté met augurken-relish en schaapsherder Daphne helpt lammeren!
81;3-2-2016;Ontwerper Kees Marcelis tovert een monumentaal pand om tot luxe appartement en Alain duikt in de wereld van de kool.
82;4-2-2016;Rick woont in een duurzaam huis van karton, Ramon maakt betaalbaar gado gado en Marieke is op de Boschplaat, Terschelling.
83;5-2-2016;Binnenkijken bij het beroemde ontwerpersduo Kiki van Eijk en Joost van Bleiswijk en ook bijzonder bier kan je op de bank zetten!
84;6-2-2016;Een woonparadijsje in het bos, Ramon maakt boerenpaté, boswachter Marieke gaat naar Terschelling, het luxe appartement van ontwerper Kees Marcelis, en Alain Caron bezoekt een familiebedrijf.
85;8-2-2016;Tropisch werken in de kas van Utrecht, Sharons betaalbare bulgursalade en een unieke verbouwde kluswoning in Arnhem.
86;9-2-2016;Interieurstylist Marjolein knapt een studentenkamer op, we maken kennis met de bijzondere kracht van het sneeuwklokje en Ramon maakt een pasta met makreel.
87;10-2-2016;Alain maakt het Indonesische stoofvleesgerecht Rendang en vogelaar / bioloog Camilla gaat flamingo's spotten in Grevelingen!
88;11-2-2016;Een huis bouwen voor je ouders? In de buurt van Arnhem gebeurde het. Sharon maakt gestoofd lamsvlees en bruine bonen met rijst en een metamorfose van een groen balkon.
89;12-2-2016;Wat eet je bij aardperen-eau-de-vie? Konikspaarden in het Hosterwold en binnenkijken bij Casper Reinders, trendsetter in horeca-inrichtingen.
90;13-2-2016;Elke zaterdag: een extra lange uitzending van BinnensteBuiten met de hoogtepunten van de afgelopen week!
91;15-2-2016;Kijken in één van de laatste koloniehuisjes in Laren, Sharon maakt 'snelle' zeebaars en broccolisalade, en wat doet een heggenvlechter?
92;16-2-2016;Een 18e eeuwse boerderij vol waanzinnige en bijzondere verzamelingen en Ramon maakt zelf vegetarisch burgers, op zelfgemaakte broodjes.
93;17-2-2016;Sharon kookt met parelgort en vergeten groenten, duurzaam wonen in een monumentaal pand en kunstenaar Flos hergebruikt onkruid tot kunst.
94;18-2-2016;Op Landgoed Pabema herleeft 't Gronings cultureel erfgoed, Alain Caron ontmoet Mangalitza varkens en onze hovenier bekijkt sneeuwklokjes.
95;19-2-2016;Battenoord: een moderne witte villa in de natuur en Alain Caron bezoekt kaasspecialist Betty Koster in vissersstad IJmuiden.
96;20-2-2016;Elke zaterdag: een extra lange uitzending van BinnensteBuiten met de hoogtepunten van de afgelopen week!
97;22-2-2016;Sharon maakt haar oma's zalmschotel, Marieke gaat naar de hoogste duinen van Nederland en we kijken binnen in Huis de Wiers.
98;23-2-2016;Interieurontwerper Francine gaat aan de slag om van de woonkamer een knus en gezellig geheel te maken en in Hoevelaken bekijken we een bijzonder, door slootjes opgedeelde bostuin.
99;24-2-2016;Alain bekijkt en proeft mini-groente die gekweekt worden op water, er wordt een achtertuintje opgeknapt en we bekijken in Klundert een wel heel kleurrijk huis!
100;25-2-2016;Ramon gaat terug naar zijn roots als patissier en maakt Victoriasoezen. En in Everdingen bekijken we een huis dat geheel in de Engelse classicistische stijl is omgetoverd.
101;26-2-2016;Kunstenaar Ans Markus werkt waar zij woont in Amsterdam. Alain bezoekt een jeneverstokerij en maakt daar een gerechtje bij. En in Rijnsburg staat een indoor moestuin complex
102;27-2-2016;Elke zaterdag: een extra lange uitzending van BinnensteBuiten met de hoogtepunten van de afgelopen week!
103;29-2-2016;Een schoolgebouw uit 1910 heeft een nieuwe, duurzame bestemming gekregen. Sharon maakt een pizza met een zeer gezonde bodem. En het enige vissenasiel van Nederland!
104;1-3-2016;Ramon maakt een chique boerenmaaltijd, coq au vin. In de Rotterdamse Trompenburg staat een tal van bijzondere bomen. En de oude boerderij van oscar-winnaar Bà˜rge Ring heeft een heel verrassende binnenkant.
105;2-3-2016;Boswachter Marieke in de Biesbosch, Alain kookt met gerookte zalm met trekdrop-wodkasmaak en industrieel wonen in Strijp-R Eindhoven.
106;3-3-2016;Een oud pakhuis als woning in hartje Amsterdam, Ramon maakt snelle entrecoterolletjes met rösti en Martin haalt de hele tuin van Andrë en Ans leeg!
107;4-3-2016;Wijn van tomaten? Léon en Milton gaan dit proeven. En wonen in een 17e eeuws grachtenpand in originele staat.
108;5-3-2016;Elke zaterdag: een extra lange uitzending van BinnensteBuiten met de hoogtepunten van de afgelopen week!
109;7-3-2016;Bijzonder: in een machine wonen en wel een molen. Sharon maakt nasi met tempeh. En back to the 70s in de tuinen van Mien Ruys.
110;8-3-2016;Ramon maakt een snelle maaltijdsalade, Camilla zoekt ransuilen in hun roestplaats in Soest en de kleurrijke metamorfose van een woonkamer!
111;9-3-2016;Waarom staan er stippen op bomen? Wonen in een historische houtbouw-burgemeesterswoning in Krommenie en Sharon maakt Surinaamse pindasoep.
112;10-3-2016;Het Coopmanshà»s in Franeker is een van Frieslands meest bekende panden. Alain bezoek in Limburg een pastamaker met veel passie. En de Tempelhof is een tuin aangelegd als een levend wezen.
113;11-3-2016;Welke 100 tropische producten gebruik je per dag? En Alain maakt kunst op koffie. Je cappucino zal nooit meer hetzelfde zijn.
114;12-3-2016;Elke zaterdag: een extra lange uitzending van BinnensteBuiten met de hoogtepunten van de afgelopen week!
115;14-3-2016;Binnenkijken in een voormalige ambulancegarage. Camilla gaat met haar vader kustvogels spotten. En Sharon maakt viskoekjes van makreel.
116;15-3-2016;Ramon maakt tarte tatin van rode ui. Martin knapt de tuin van de oude blikjesfabriek op. En in Huisduinen staat een moderne versie van een paddenstoelen huis.
117;16-3-2016;Een verborgen hortus in De Groene Parel in Den Helder. Een voormalige autobandengarage is nu een gezinshuis. En Alain leert alles over biologische shii-takes kweken.
118;17-3-2016;Luxe wonen in een Mongoolse tent ofwel ger of yurt, Marieke loopt het blote voetenpad in Drents-Friese Wold en Ramon maakt 'sticky spareribs' met een stamppot.
119;18-3-2016;Leon en Milton maken kennis met een unieke manier van garnalen vissen: te paard! En in Leiden wordt een woonhuis geregeld omgebouwd tot theater.
120;19-3-2016;Een extra lange uitzending met de hoogtepunten van de afgelopen week!
121;21-3-2016;Een badkamer compleet van leer in in een unieke woning in de buurt van Rotterdam. Sharon maakt sweet chili chicken. En de tuinen van kasteel Amerongen.
122;22-3-2016;Ramon maakt zelfgemaakt kibbeling! Varkens kunnen prima het werk van een traktor overnemen. En Francine brengt een eenduidige stijl aan in een woning.
123;23-3-2016;Léon Mazairac ontmoet een gepassioneerde kaasmaker en Marieke spot haar eerste Grevelingen zeehond. De meest luie in Nedederland.
124;24-3-2016;Een huis dat lijkt op een bijenkorf, Sharon maakt pompoenpannenkoeken en Anny heeft een oase in Ruurlo met meer dan 2500 soorten cactussen.
125;25-3-2016;In de Heilige Hart Kerk in Utrecht zijn appartementen gebouwd, maar is de kerk bewaard. Adrienne laat het zien. Alain Caron maakt limoncello.
126;26-3-2016;Elke zaterdag: een extra lange uitzending van BinnensteBuiten met de hoogtepunten van de afgelopen week!
127;28-3-2016;Het Raadhuis van Kessel is omgebouwd tot woonhuis en B&B, Alain kookt deze 2e Paasdag met oer-ei en boswachter Marieke observeert boksende hazen.
128;29-3-2016;Sharon maakt snelle springrolls, we kijken in de Keukenhof en Inge houdt van wit en dat is te zien in haar witte huis in Drachten.
129;30-3-2016;Ramon leeft zich uit op patisserie: hazelnootschuimgebak. Martin knapt een tuin op met als verrassing een 'mensennest'.
130;31-3-2016;Ramon maakt 'pulled pork', langzaam gegaard varkensvlees. Een stadsmoestuin in Amsterdam. En een uniek huis in een oude werfkelder in Utrecht.
131;1-4-2016;Architect Alexandra heeft een gezond en stralingsvrij huis ontworpen en Léon en Milton proeven de duurste groente ter wereld: hopscheuten!
132;2-4-2016;Elke zaterdag: een extra lange uitzending van BinnensteBuiten met de hoogtepunten van de afgelopen week!
133;4-4-2016;Wonen in een gymzaal van een oude meisjesschool. Sharon maakt doodgewone tomatensoep, maar toch speciaal. En Camilla kijkt vogels in de Oostvaardersplassen.
134;5-4-2016;Ramon maakt gegrilde duurzame tonijnsteak met pasta pesto. Kasteel Rosendael heeft een fantastisch mooie tuin. En Francine tovert een kamer om tot echte meidenkamer.
135;6-4-2016;Een oud-burgemeester, die heel toepasselijk, in een voormalige burgemeesterswoning woont. En Alain gaat naar een biologische schapenboer. Van lammetje naar karbonade.
136;7-4-2016;Martha woont in een huis met brug. Sharon maakt Surinaamse kippastei en Martin heeft meteen eer van zijn tuinopknapwerk in de sneeuw.
137;8-4-2016;Villa Tindal wordt ook de muziekvilla genoemd en Alain gaat koken met geitenmelklikeur bij Boer Frank en Anita, uit Boer Zoekt Vrouw 2011.
138;9-4-2016;Elke zaterdag: een extra lange uitzending van BinnensteBuiten met de hoogtepunten van de afgelopen week!
139;11-4-2016;Tegel kunstwerkjes die tranen van ontroering brengen. Sharon maakt zalm gerold in nori vellen. En Marieke vertelt wat er gebeurt tijdens de paddentrek.
140;12-4-2016;Pittige pasteitjes met tempeh van Ramon. Tinus heeft een kei-mooie kijktuin. En Annebet heeft de meest kekke gerecyclede spullen in huis.
141;13-4-2016;Peter, Hilda en hun zoon bouwen een woning van restmaterialen in de natuur. Alain is bij twee vriendinnen die allerlei chutneys maken.
142;14-4-2016;Martin Stuger pakt een balkon aan. Een moderne opgeknapte Oldambtster boerderij. En Ramons lentegerecht: lamsracks met raapstelenstamppot
143;15-4-2016;Een huis op de Veluwe is één grote kleurexplosie! Léon en Milton proeven hét hipste aperitief. En moestuinexpert Susan legt uit hoe je moet beginnen.
144;16-4-2016;Elke zaterdag: een extra lange uitzending met de hoogtepunten van de afgelopen week!
145;18-4-2016;Je kan voor â‚¬600 in Amsterdam wonen! Sharon maakt Javaanse bami met sambal. En de symboliek van een prachtige Chinese tuin in Groningen.
146;19-4-2016;Ramon maakt Japanse soep, hip, licht en lekker. Camilla legt uit waarom de grutto zo leuk is. En een huis bekleed met rubber. Kinky?!
147;20-4-2016;Dorothy doet geschiedenis herleven in Lodewijk XV-stijl in een Amsterdams grachtenpand. En Alain vangt en maakt kreeft klaar bij Sam Uil.
148;21-4-2016;Een woonkerk met klimmuur, een apart bed en meer moois! Marieke bekijkt wilde paarden. En Sharon maakt Antilliaanse cashewnotentaart.
149;22-4-2016;"Huis te Manpad; een prachtige historische buitenplaats met Franse landschapstuin in volle glorie! Alain Caron leert wijn maken van honing."
150;23-4-2016;Elke zaterdag: een extra lange uitzending met de hoogtepunten van de afgelopen week!
151;25-4-2016;"Van brandweerkazerne tot modern huis; Sharon vult snel een courgette vegetarisch; En gans Ben op de ezelopvang denkt dat ie een ezel is."
152;26-4-2016;Ramon maakt bapao met gehakt. Prof. Oudemans weet alles van de eigenaardigheden van planten. En in een Heusdense stadsboerderij ligt de kelder vol kurken..
153;27-4-2016;Op Koningsdag proeft Alain oranjebitter, Rik & Yvonne wonen in café Wilhelmina. De Woestuin is klaar voor de start van het moestuinseizoen.
154;28-4-2016;"In Vierakker staat het energieneutrale red ceder-huis. Ramon rolt zeewolffilet in pancetta; Marieke spot biggetjes van het wild zwijn."
155;29-4-2016;Alpacas gedijen prima in Drenthe en ze krijgen er een zomerlook. Napoleon dineerde er ooit, maar het Waterschapshuis biedt meer verhalen.
156;30-4-2016;De hoogtepunten van de afgelopen week!
157;2-5-2016;Ramon maakt snelle tartaar van haring! We kijken binnen bij een voormalige bollenschuur in Oegstgeest. En Martin knapt een tuin zo onderhoudsvriendelijk op.
158;3-5-2016;Alles bloeit in Arboretum Trompenburg, ook de clandestiene planten. En Francine tovert een kamer om tot kinderparadijs.
159;5-5-2016;Alain raakt geinspireerd door Jonathans bitterbal van biet en in Olst staan aardehuizen. Wat dat is? Ting, Bonje en Fief laten het zien.
160;6-5-2016;Leon maakt een Utrechtse snack van lokaal bier en worst. En de barones van kasteel Duivenvoorde heeft mooie herinneringen aan het kasteel.
161;7-5-2016;Met o.a. een grachtenhuis in Amsterdam, Zeewolffilet, een Groninger Oldambtster boerderij en Nederlandse vermout.
162;9-5-2016;Wonen drijvend op water in Lelystad. Sharon maakt maissoep. En boswachter Marieke bekijkt de oevers vanuit een kano.
163;10-5-2016;Ramon maakt kip tandooriwraps. Het prachtige familielandgoed De Wiersse. En antiek kruidenierswinkel in een woning in de Achterhoek.
164;11-5-2016;De grootste dakboerderij van Europa. Een ecowoning onderin een berg. En Alain kookt voor en met een gepassioneerde aardappelboer.
165;12-5-2016;Een kunstzinnig huis in het Rotterdamse Katendrecht in dezelfde kleur als de Erasmusbrug. En Ramon maakt citroenmeringues.
166;13-5-2016;Landgoed De Essenhof heeft een gezellig familiehuis met de tuin van vijf religies. En Alain bezoekt een wijn- en aspergeboer in Etten-Leur.
167;14-5-2016;Elke zaterdag: een extra lange uitzending met de hoogtepunten van de afgelopen week!
168;16-5-2016;Tjerk en Niels wonen op een duurzame zeilboot. Sharon maakt een betaalbare maaltijd met gepofte zoete aardappel. En Camilla is in natuurgebied de Ronde Hoep
169;17-5-2016;Ramon maakt een snel gerecht: visballetjes met asperges. Interieurontwerper Francine pakt een woonkamer aan. In Erp wonen de gelukkigste varkens van Nederland.
170;18-5-2016;Op Vlieland gaat Alain Caron kokkels harken met visexpert Bart van Olphen en kokkelvisser Jouke Visser. En we gaan kijken in het Friese landgoedmuseum de Dekema State.
171;19-5-2016;Het eerste modern vakwerkhuis in Nederland sinds 150 jaar. Marieke telt nesten aalscholvers op vogeleiland De Kreupel. En Sharon maakt roti kip.
172;20-5-2016;Wonen in een middeleeuws hofje van vakwerkhuizen in de Voerstreek, Alain leert alles over berkenwijn en Prof. Oudemans heeft landgoed Tenaxx uitgebreid.
173;21-5-2016;Een extra lange uitzending met de hoogtepunten van de afgelopen week!
174;23-5-2016;Het unieke huis van Robert heeft een leren douche, Sharon maakt betaalbare sweet chili chicken en deze kasteeltuin is ook mooi in de regen!
175;24-5-2016;Interieurontwerper Francine pakt het huis van Bep aan. Ramon maakt 'snelle kibbeling'. En Richard wil meer varkentjes in de wei zien.
176;25-5-2016;Léon Mazairac ontmoet een gepassioneerde kaasmaker en Marieke spot haar eerste Grevelingen zeehond. De meest luie zeehond in Nederland.
